Government_Regulations.tax_rate_on_newly_installed_wind_energy_capacity:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
Government_Regulations.tax_rate_on_newly_installed_wind_energy_capacity:y,-0.13334,-0.20001,-0.26668,-0.26668,-0.26668,-0.26668,-0.26668,-0.13334,-0.13334,-0.13334,-0.13334,-0.13334,-0.13334,-0.13334
Government_Regulations.tax_rate_on_newly_installed_nuclear_energy_capacity:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
Government_Regulations.tax_rate_on_newly_installed_nuclear_energy_capacity:y,-0.33335,-0.500025,-0.500025,-0.500025,-0.500025,-0.500025,-0.500025,-0.33335,-0.33335,-0.33335,-0.33335,-0.33335,-0.33335,-0.33335
Government_Regulations.tax_on_CO2e_emissions:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.tax_on_CO2e_emissions:y,0,0,50,100,136,161,177,188,200,,,,,
Government_Regulations.tax_rate_on_newly_installed_solar_energy_capacity:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,2110,2120,2130,2140,2150
Government_Regulations.tax_rate_on_newly_installed_solar_energy_capacity:y,-0.13334,-0.20001,-0.26668,-0.26668,-0.26668,-0.26668,-0.26668,-0.13334,-0.13334,-0.13334,-0.13334,-0.13334,-0.13334,-0.13334
Behavioral_Choices.additional_environmental_consciousness_policy:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Behavioral_Choices.additional_environmental_consciousness_policy:y,0,0,0,0,0,0,0,0,0,,,,,
Behavioral_Choices.animal_products_fraction_policy:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Behavioral_Choices.animal_products_fraction_policy:y,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,,,,,
Behavioral_Choices.aquatic_animal_products_fraction_policy:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Behavioral_Choices.aquatic_animal_products_fraction_policy:y,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,0.078,,,,,
Behavioral_Choices.food_demand_policy:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Behavioral_Choices.food_demand_policy:y,2833,2833,2833,2833,2833,2833,2833,2833,2833,,,,,
Behavioral_Choices.per_person_use_of_energy_policy:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Behavioral_Choices.per_person_use_of_energy_policy:y,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,8.64,,,,,
Behavioral_Choices.start_year,2025,,,,,,,,,,,,,
Behavioral_Choices.switch_animal_products_fraction_policy,0,,,,,,,,,,,,,
Behavioral_Choices.switch_aquatic_animal_products_fraction_policy,0,,,,,,,,,,,,,
Behavioral_Choices.switch_energy_demand_policy,0,,,,,,,,,,,,,
Behavioral_Choices.switch_environmental_consciousness_policy,0,,,,,,,,,,,,,
Behavioral_Choices.switch_food_demand_policy,0,,,,,,,,,,,,,
Government_Regulations.additional_transfers_policy:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.additional_transfers_policy:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.animal_product_efficiency_policy:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.animal_product_efficiency_policy:y,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,0.249,,,,,
Government_Regulations.biofuels_CO2e_emissions_tax_reduction_share,1,,,,,,,,,,,,,
Government_Regulations.biofuels_SO2_emissions_tax_reduction_share,1,,,,,,,,,,,,,
Government_Regulations.concrete_infrastructure_maintenance_policy:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.concrete_infrastructure_maintenance_policy:y,1,1,1,1,1,1,1,1,1,,,,,
Government_Regulations.concrete_residential_and_service_maintenance_policy:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.concrete_residential_and_service_maintenance_policy:y,1,1,1,1,1,1,1,1,1,,,,,
Government_Regulations.debt_to_gdp_level_start_year,2025,,,,,,,,,,,,,
Government_Regulations.forestation_policy:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.forestation_policy:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.government_debt_to_GDP_ratio_target,1.2,,,,,,,,,,,,,
Government_Regulations.inflation_goal_policy,0.02,,,,,,,,,,,,,
Government_Regulations.Infrastructure_buildings_longevity_policy:x,1980,1995,2010,2025,2040,2055,2070,2085,2100,,,,,
Government_Regulations.Infrastructure_buildings_longevity_policy:y,1,1,1,1,1,1,1,1,1,,,,,
Government_Regulations.irrigation_efficiency_multiplier:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.irrigation_efficiency_multiplier:y,1,1,1,1,1,1,1,1,1,,,,,
Government_Regulations.irrigation_fraction_policy:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.irrigation_fraction_policy:y,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,0.239,,,,,
Government_Regulations.max_change_per_year_in_unemployment,0.001,,,,,,,,,,,,,
Government_Regulations.max_change_per_year_in_inflation,0.001,,,,,,,,,,,,,
Government_Regulations.minimum_percentage_of_taxes_spent_by_government,0.9,,,,,,,,,,,,,
Government_Regulations.Moratorium_on_fossil_energy_year,2150,,,,,,,,,,,,,
Government_Regulations.No_SLR_adaptation_strategy,1,,,,,,,,,,,,,
Government_Regulations.non_agricultural_water_use_policy:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.non_agricultural_water_use_policy:y,173500000,173500000,173500000,173500000,173500000,173500000,173500000,173500000,173500000,,,,,
Government_Regulations.profit_tax_policy,0.327,,,,,,,,,,,,,
Government_Regulations.profit_tax_policy_start_year,2025,,,,,,,,,,,,,
Government_Regulations.Protection_as_SLR_adaptation_strategy,0,,,,,,,,,,,,,
Government_Regulations.rate_of_decommissioning_coal_fossil_fuel_extraction_capital:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.rate_of_decommissioning_coal_fossil_fuel_extraction_capital:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.rate_of_decommissioning_gas_fossil_fuel_extraction_capital:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.rate_of_decommissioning_gas_fossil_fuel_extraction_capital:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.rate_of_decommissioning_oil_fossil_fuel_extraction_capital:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.rate_of_decommissioning_oil_fossil_fuel_extraction_capital:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.Residential_and_Service_buildings_longevity_policy:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.Residential_and_Service_buildings_longevity_policy:y,1,1,1,1,1,1,1,1,1,,,,,
Government_Regulations.Retreat_as_SLR_adaptation_strategy,0,,,,,,,,,,,,,
Government_Regulations.share_of_biofuel_emissions_stored:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.share_of_biofuel_emissions_stored:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.share_of_coal_emissions_stored:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.share_of_coal_emissions_stored:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.share_of_gas_emissions_stored:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.share_of_gas_emissions_stored:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.share_of_oil_emissions_stored:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.share_of_oil_emissions_stored:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.SLR_adaptation_start_year,2025,,,,,,,,,,,,,
Government_Regulations.start_year,2025,,,,,,,,,,,,,
Government_Regulations.switch_animal_product_efficiency_policy,0,,,,,,,,,,,,,
Government_Regulations.switch_irrigation_fraction_policy,0,,,,,,,,,,,,,
Government_Regulations.switch_non_agricultural_water_use_policy,0,,,,,,,,,,,,,
Government_Regulations.switch_profit_tax_policy,0,,,,,,,,,,,,,
Government_Regulations.switch_wage_tax_policy,0,,,,,,,,,,,,,
Government_Regulations.tax_on_SO2_emissions:x,2020,2028,2036,2044,2052,2060,2068,2076,2084,2092,2100,,,
Government_Regulations.tax_on_SO2_emissions:y,0,0,0,0,0,0,0,0,0,0,0,,,
Government_Regulations.tax_rate_on_newly_installed_bio_energy_capacity:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.tax_rate_on_newly_installed_bio_energy_capacity:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.tax_rate_on_newly_installed_coal_energy_production_capacity:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.tax_rate_on_newly_installed_coal_energy_production_capacity:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.tax_rate_on_newly_installed_coal_extraction_capacity:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.tax_rate_on_newly_installed_coal_extraction_capacity:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.tax_rate_on_newly_installed_gas_extraction_capacity:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.tax_rate_on_newly_installed_gas_extraction_capacity:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.tax_rate_on_newly_installed_hydropower_capacity:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.tax_rate_on_newly_installed_hydropower_capacity:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.tax_rate_on_newly_installed_oil_extraction_capacity:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.tax_rate_on_newly_installed_oil_extraction_capacity:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.tax_rate_on_newly_installed_gas_energy_production_capacity:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.tax_rate_on_newly_installed_gas_energy_production_capacity:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.tax_rate_on_newly_installed_oil_energy_production_capacity:x,2020,2030,2040,2050,2060,2070,2080,2090,2100,,,,,
Government_Regulations.tax_rate_on_newly_installed_oil_energy_production_capacity:y,0,0,0,0,0,0,0,0,0,,,,,
Government_Regulations.time_for_government_to_change_the_debt_to_GDP_ratio_target,10,,,,,,,,,,,,,
Government_Regulations.time_to_implement_profit_tax_policy,5,,,,,,,,,,,,,
Government_Regulations.time_to_implement_wage_tax_policy,5,,,,,,,,,,,,,
Government_Regulations.time_to_implement_wealth_tax_policy,5,,,,,,,,,,,,,
Government_Regulations.time_to_start_central_bank_inflation_policy,2025,,,,,,,,,,,,,
Government_Regulations.time_to_start_central_bank_unemployment_policy,2025,,,,,,,,,,,,,
Government_Regulations.unemployment_goal_policy,0.05,,,,,,,,,,,,,
Government_Regulations.wage_tax_policy,0.218,,,,,,,,,,,,,
Government_Regulations.wage_tax_policy_start_year,2025,,,,,,,,,,,,,
Government_Regulations.wealth_tax_policy,0,,,,,,,,,,,,,
Government_Regulations.wealth_tax_policy_start_year,2025,,,,,,,,,,,,,
