access_scenario,scenario,name_run,q,region,GCAM Region,Population,year,e_cool_CC,e_cool_noCC,e_cool_delta,Percentage change,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Eastern,434.426,2030,0.04077,0.03327,0.00749,22.53%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Eastern,532.68,2040,0.07910,0.05996,0.01914,31.92%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Eastern,631.121,2050,0.16512,0.11625,0.04887,42.04%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Eastern,724.714,2060,0.40929,0.26684,0.14245,53.39%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Eastern,807.639,2070,1.03927,0.62893,0.41034,65.24%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Eastern,876.919,2080,2.04202,1.15095,0.89107,77.42%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Eastern,930.909,2090,3.01147,1.58217,1.42930,90.34%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Eastern,969.235,2100,3.56682,1.74821,1.81861,104.03%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Northern,234.942,2030,0.02205,0.01799,0.00405,22.53%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Northern,262.559,2040,0.03899,0.02955,0.00943,31.92%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Northern,287.975,2050,0.07534,0.05304,0.02230,42.04%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Northern,307.46,2060,0.17364,0.11321,0.06044,53.39%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Northern,321.701,2070,0.41397,0.25052,0.16345,65.24%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Northern,331.922,2080,0.77292,0.43564,0.33728,77.42%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Northern,338.266,2090,1.09428,0.57492,0.51937,90.34%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Northern,340.12,2100,1.25165,0.61348,0.63818,104.03%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Southern,243.135,2030,0.02282,0.01862,0.00419,22.53%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Southern,307.381,2040,0.04564,0.03460,0.01105,31.92%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Southern,374.973,2050,0.09811,0.06907,0.02904,42.04%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Southern,442.586,2060,0.24996,0.16296,0.08700,53.39%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Southern,506.698,2070,0.65202,0.39458,0.25744,65.24%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Southern,564.525,2080,1.31457,0.74093,0.57364,77.42%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Southern,614.268,2090,1.98715,1.04401,0.94314,90.34%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Southern,654.12,2100,2.40718,1.17984,1.22735,104.03%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Western,714.784,2030,0.06707,0.05474,0.01233,22.53%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Western,901.084,2040,0.13380,0.10142,0.03238,31.92%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Western,1097.53,2050,0.28715,0.20216,0.08499,42.04%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Western,1291.71,2060,0.72951,0.47560,0.25391,53.39%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Western,1476,2070,1.89932,1.14940,0.74992,65.24%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Western,1639.79,2080,3.81846,2.15221,1.66625,77.42%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Western,1774.99,2090,5.74206,3.01677,2.72529,90.34%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,Africa_Western,1877.52,2100,6.90934,3.38649,3.52285,104.03%,,
projected,EN_NPi2101,tm23ts24,1.95,AFR,South Africa,64.38,2030,0.00604,0.004930663,0.00111,22.53%,,
projected,EN_NPi2102,tm23ts25,2.95,AFR,South Africa,69.488,2040,0.01032,0.007821391,0.00250,31.92%,,
projected,EN_NPi2103,tm23ts26,3.95,AFR,South Africa,73.381,2050,0.01920,0.013516639,0.00568,42.04%,,
projected,EN_NPi2104,tm23ts27,4.95,AFR,South Africa,75.596,2060,0.04269,0.027834129,0.01486,53.39%,,
projected,EN_NPi2105,tm23ts28,5.95,AFR,South Africa,76.484,2070,0.09842,0.059560221,0.03886,65.24%,,
projected,EN_NPi2106,tm23ts29,6.95,AFR,South Africa,76.468,2080,0.17807,0.100363526,0.07770,77.42%,,
projected,EN_NPi2107,tm23ts30,7.95,AFR,South Africa,75.783,2090,0.24516,0.128800824,0.11636,90.34%,,
projected,EN_NPi2108,tm23ts31,8.95,AFR,South Africa,74.631,2100,0.27464,0.134612204,0.14003,104.03%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,,1691.667,2030,0.15874,0.12956,0.02918,22.53%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,,2073.192,2040,0.30785,0.23335,0.07450,31.92%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,,2464.98,2050,0.64493,0.45404,0.19089,42.04%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,,2842.066,2060,1.60509,1.04644,0.55865,53.39%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,,3188.522,2070,4.10300,2.48299,1.62001,65.24%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,,3489.624,2080,8.12604,4.58010,3.54594,77.42%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,,3734.216,2090,12.08012,6.34668,5.73345,90.34%,,
projected,EN_NPi2100,tm23ts23,0.95,AFR,,3915.626,2100,14.40964,7.06263,7.34701,104.03%,,
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,1425.12,2030,0.5553325398075196,0.42313576228877214,0.13220,31.24%,,
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,1388.17,2040,0.6362801814559162,0.44371406980488315,0.19257,43.40%,,
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,1324.82,2050,0.7042970616106113,0.4517253506298455,0.25257,55.91%,,
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,1218.57,2060,0.7312127309937486,0.43182407993916405,0.29939,69.33%,,
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,1097.96,2070,0.7298703998237599,0.3983081032284872,0.33156,83.24%,,
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,985.048,2080,0.7092188121358235,0.35857552704295326,0.35064,97.79%,,
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,874.582,2090,0.6781063413542359,0.31767685130141265,0.36043,113.46%,,
projected,EN_NPi2100,tm23ts23,0.95,CPA,China,777.192,2100,0.6459714896751818,0.28071416971024227,0.36526,130.12%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,,151.016,2030,0.3861326360919951,0.258792023,0.12734,49.21%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,,143.823,2040,0.4979420672784872,0.27432382697000224,0.22362,81.52%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,,136.597,2050,0.5699618107141365,0.2644673394269771,0.30549,115.51%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,,129.102,2060,0.6392975226877528,0.25334356530119745,0.38595,152.34%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,,121.725,2070,0.6794058323952992,0.23343983613613173,0.44597,191.04%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,,115.458,2080,0.7016142345114481,0.2112589724571328,0.49036,232.11%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,,111.102,2090,0.7164866709327345,0.1901340031152314,0.52635,276.83%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,,108.288,2100,0.7273314627862677,0.17105295215201186,0.55628,325.21%,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,100.181,2030,0.256152683,0.171677462,0.08448,,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,96.133,2040,0.332830387,0.183361301,0.14947,,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,92.148,2050,0.384494835,0.178409016,0.20609,,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,88.29,2060,0.437201424,0.173256056,0.26395,,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,84.469,2070,0.471462159,0.161991617,0.30947,,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,81.299,2080,0.494037101,0.148756632,0.34528,,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,79.448,2090,0.51235291,0.135963045,0.37639,,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,EU-12,78.82,2100,0.529405529,0.124504965,0.40490,,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,Europe_Eastern,50.835,2030,0.129979953,0.087114561,0.04287,,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,Europe_Eastern,47.69,2040,0.16511168,0.090962526,0.07415,,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,Europe_Eastern,44.449,2050,0.185466976,0.086058323,0.09941,,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,Europe_Eastern,40.812,2060,0.202096098,0.080087509,0.12201,,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,Europe_Eastern,37.256,2070,0.207943674,0.07144822,0.13650,,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,Europe_Eastern,34.159,2080,0.207577133,0.062502341,0.14507,,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,Europe_Eastern,31.654,2090,0.204133761,0.054170958,0.14996,,,
projected,EN_NPi2100,tm23ts23,0.95,EEU,Europe_Eastern,29.468,2100,0.197925934,0.046547987,0.15138,,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,,247.336,2030,0.19022738408949333,0.134693969,0.05553,41.20%,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,,252.982,2040,0.268343705,0.16832477767267753,0.10002,59.40%,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,,258.39,2050,0.3236153632761528,0.1805611065929994,0.14305,79.20%,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,,260.24,2060,0.37254197394784344,0.18477746933407876,0.18776,101.60%,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,,259.783,2070,0.41192757136291924,0.1826998880344396,0.22923,125.50%,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,,258.931,2080,0.44124712009962286,0.17580872185101043,0.26544,151.00%,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,,257.954,2090,0.4607254056902379,0.16546842151929023,0.29526,178.40%,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,,255.797,2100,0.4740915890771958,0.15429256147398165,0.31980,207.30%,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,Central Asia,105.689,2030,0.081285951,0.057556,0.02373,,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,Central Asia,115.668,2040,0.122691653,0.076961169,0.04573,,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,Central Asia,125.036,2050,0.156598826,0.087374273,0.06922,,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,Central Asia,132,2060,0.188962268,0.093723586,0.09524,,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,Central Asia,137.038,2070,0.217295707,0.096375926,0.12092,,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,Central Asia,140.711,2080,0.239787138,0.09553982,0.14425,,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,Central Asia,143.028,2090,0.255458854,0.091747433,0.16371,,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,Central Asia,143.593,2100,0.266133823,0.086612946,0.17952,,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,Russia,141.647,2030,0.108941433,0.077137969,0.03180,,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,Russia,137.314,2040,0.145652052,0.091363609,0.05429,,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,Russia,133.354,2050,0.167016538,0.093186833,0.07383,,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,Russia,128.24,2060,0.183579706,0.091053884,0.09253,,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,Russia,122.745,2070,0.194631865,0.086323962,0.10831,,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,Russia,118.22,2080,0.201459982,0.080268902,0.12119,,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,Russia,114.926,2090,0.205266551,0.073720988,0.13155,,,
projected,EN_NPi2100,tm23ts23,0.95,FSU,Russia,112.204,2100,0.207957766,0.067679615,0.14028,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,,565.578,2030,2.29281,1.83126,0.46155,25.20%,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,,592.067,2040,4.00003,2.91415,1.08588,37.26%,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,,605.339,2050,5.37555,3.57817,1.79738,50.23%,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,,606.473,2060,6.46414,3.93700,2.52714,64.19%,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,,596.775,2070,7.14232,3.98277,3.15955,79.33%,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,,577.983,2080,7.48943,3.83527,3.65416,95.28%,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,,553.884,2090,7.62230,3.58728,4.03503,112.48%,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,,732.342,2100,7.67612,3.32339,4.35273,130.97%,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Argentina,47.55,2030,0.192763675,0.153959886,0.03880,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Argentina,49.913,2040,0.337214483,0.24567188,0.09154,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Argentina,51.564,2050,0.457899855,0.304795448,0.15310,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Argentina,52.257,2060,0.556985441,0.339232961,0.21775,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Argentina,52.06,2070,0.623064681,0.347439299,0.27563,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Argentina,51.102,2080,0.662173569,0.339092961,0.32308,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Argentina,49.553,2090,0.68192628,0.320934321,0.36099,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Argentina,47.661,2100,0.499563781,0.216286844,0.28328,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Brazil,223.459,2030,0.905883869,0.7235272786,0.18236,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Brazil,229.961,2040,1.553626903,1.1318684754,0.42176,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Brazil,230.972,2050,2.05108303,1.3652783776,0.68580,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Brazil,227.276,2060,2.422439543,1.4753910561,0.94705,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Brazil,219.498,2070,2.62699676,1.4648911121,1.16211,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Brazil,208.533,2080,2.702145531,1.3837437373,1.31840,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Brazil,196.595,2090,2.705452688,1.2732646416,1.43219,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Brazil,185.102,2100,1.940166068,0.8399976358,1.10017,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Central America and Caribbean,99.056,2030,0.401564638,0.3207287158,0.08084,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Central America and Caribbean,106.281,2040,0.718039237,0.5231152823,0.19492,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Central America and Caribbean,111.297,2050,0.988342258,0.6578779575,0.33046,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Central America and Caribbean,113.916,2060,1.214182857,0.7395002004,0.47468,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Central America and Caribbean,114.276,2070,1.367678438,0.7626579592,0.60502,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Central America and Caribbean,112.607,2080,1.459147961,0.7472161770,0.71193,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Central America and Caribbean,109.253,2090,1.503491048,0.7075865708,0.79590,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Central America and Caribbean,104.855,2100,1.099048703,0.4758346863,0.62321,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Colombia,53.985,2030,0.21885062,0.174795466,0.04406,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Colombia,56.228,2040,0.379878908,0.276754322,0.10312,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Colombia,56.986,2050,0.506048428,0.336844958,0.16920,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Colombia,56.514,2060,0.602359019,0.366867818,0.23549,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Colombia,54.944,2070,0.65758098,0.366686609,0.29089,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Colombia,52.316,2080,0.677904435,0.347148592,0.33076,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Colombia,49.11,2090,0.675829912,0.318065193,0.35776,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,Colombia,45.985,2100,0.481996611,0.208681112,0.27332,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,33.727,2030,0.136726403,0.109203051,0.02752,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,36.39,2040,0.245852484,0.179111649,0.06674,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,38.013,2050,0.337563944,0.224695318,0.11287,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,39.029,2060,0.415993739,0.253361717,0.16263,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,39.589,2070,0.473809213,0.264210035,0.20960,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,39.59,2080,0.513002458,0.262703815,0.25030,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,38.96,2090,0.53615014,0.252327834,0.28382,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,37.694,2100,0.395093623,0.171056341,0.22404,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Northern,100.183,2030,0.406133401,0.324377776,0.08176,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Southern,107.801,2040,0.728308425,0.530596725,0.19771,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Southern,113.294,2050,1.006076065,0.669682249,0.33639,,,
projected,EN_NPi2100,tm23ts23,0.95,LAM,South America_Southern,116.507,2060,1.241799239,0.756320006,0.48548,,,
